0,533
1,115
2,115
3,133
4,139
5,81
6,71
7,55
8,37
9,46
10,58
11,50
12,51
13,58
14,55
15,33
16,21
17,23
18,20
19,13
20,18
21,16
22,12
23,17
24,22
25,12
26,9
27,11
28,8
29,10
30,9
31,11
32,15
33,9
34,5
35,6
36,11
37,7
38,6
39,10
40,4
41,6
42,12
43,2
44,8
45,11
46,5
47,4
48,8
49,5
50,5
51,8
52,10
53,6
54,7
55,6
56,8
445,1
58,3
59,10
60,6
61,5
62,17
63,16
64,7
65,6
66,4
67,5
68,10
69,5
70,2
71,1
72,8
73,5
74,6
75,3
76,2
77,4
78,3
79,6
80,4
593,1
82,2
83,2
84,5
85,2
86,4
87,1
88,7
89,7
90,3
91,1
92,2
93,15
94,2
95,9
96,5
97,2
98,6
99,2
100,2
101,7
102,3
103,4
104,1
105,1
106,5
108,1
109,4
110,2
111,3
112,1
113,2
114,2
115,1
116,3
118,2
119,2
632,1
121,2
122,2
6145,1
124,1
125,4
126,3
129,4
130,4
131,1
134,3
135,4
136,2
137,1
138,3
140,2
141,2
142,1
143,3
144,3
147,2
149,1
151,2
153,2
154,3
155,1
156,6
157,5
158,2
159,2
160,2
161,5
162,1
163,3
165,3
167,1
169,1
170,2
199,1
173,1
174,1
175,3
179,3
180,1
181,1
182,2
184,1
186,1
189,1
191,1
620,1
195,1
197,2
711,1
200,1
201,1
202,1
203,3
208,1
120,1
210,3
211,1
212,1
598,1
228,2
229,1
230,2
209,1
232,1
233,3
236,1
239,7
753,1
242,1
467,1
2293,1
247,1
250,1
251,1
252,1
255,1
259,1
261,1
266,2
267,1
269,1
272,1
558,1
282,1
290,2
292,1
294,2
221,1
305,1
314,1
319,1
566,1
701,1
481,1
330,1
567,1
1356,1
334,1
352,1
851,1
57,5
1509,1
523,1
-159,1
356,1
171,2
871,1
231,1
364,1
877,1
372,1
374,1
378,1
-130,1
385,1
-124,1
81,4
396,1
397,1
911,1
-109,1
409,1
-103,1
414,1
-97,1
420,1
-88,1
-1111,1
327,1
433,1
435,1
-73,2
-67,2
-66,1
-64,1
-61,6
-79,1
-58,3
-57,1
456,1
-55,4
2807,1
-52,5
-49,9
-48,1
-46,8
-45,2
-43,13
-40,22
-37,12
-35,1
-34,15
-33,2
-32,1
-31,37
-30,11
-28,38
-27,7
-25,45
-24,17
-23,1
-22,58
-21,12
-19,107
-18,13
-16,190
-15,40
-13,223
-12,87
-10,296
-9,53
-7,291
-6,52
507,1
-3,1732
